Rental_state;Start;End;Revenue;Distance;duration_minute;revenue_minute;revenue_km;car_id;accum_distance;battery_left;reset_flag;segment;running_duration;running_revenue;profitable_minutes;Incentive20;Incentive15;Incentive10;Incentive5
RED;19:04,3;39:20,4;4,57;4;20,2686;0,225471912;1,1425;1;4;98;0;1000000;20,2686;4,57;0;-20;-15;-10;-5
RED;45:17,9;06:59,7;4,44;7;21,69556667;0,204650105;0,634285714;1;11;94,5;0;1000000;41,96416667;9,01;0;-20;-15;-10;-5
RED;01:34,3;14:07,9;2,62;6;12,56041667;0,208591806;0,436666667;1;17;91,5;0;1000000;54,52458333;11,63;0;-20;-15;-10;-5
RED;00:22,7;09:30,2;1,82;1;9,12515;0,199448776;1,82;1;18;91;0;1000000;63,64973333;13,45;0;-20;-15;-10;-5
RED;31:38,0;40:57,7;2,57;2;9,3276;0,275526395;1,285;1;20;90;0;1000000;72,97733333;16,02;0;-20;-15;-10;-5
RED;41:57,2;53:25,5;2,42;4;11,47086667;0,210969238;0,605;1;24;88;0;1000000;84,4482;18,44;0;-20;-15;-10;-5
RED;33:13,8;47:24,7;2,82;5;14,18318333;0,198827015;0,564;1;29;85,5;0;1000000;98,63138333;21,26;0;-20;-15;-10;-5
RED;01:36,3;49:18,2;9,48;34;47,69873333;0,198747416;0,278823529;1;63;68,5;0;1000000;146,3301167;30,74;0;-20;-15;-10;-5
RED;22:18,0;32:53,0;2,02;4;10,58296667;0,190872755;0,505;1;67;66,5;0;1000000;156,9130833;32,76;0;-20;-15;-10;-5
RED;44:26,1;03:12,6;3,71;6;18,77481667;0,197605125;0,618333333;1;73;63,5;0;1000000;175,6879;36,47;0;-20;-15;-10;-5
RED;05:40,4;21:55,6;3,23;11;16,25328333;0,198729077;0,293636364;1;84;58;0;1000000;191,9411833;39,7;0;-20;-15;-10;-5
RED;11:58,8;26:46,8;2,94;5;14,79991667;0,198649767;0,588;1;89;55,5;0;1000000;206,7411;42,64;0;-20;-15;-10;-5
RED;31:17,4;38:38,4;2;3;7,349866667;0,27211378;0,666666667;1;92;54;0;1000000;214,0909667;44,64;0;-20;-15;-10;-5
RED;44:34,8;10:46,6;5,12;8;26,19731667;0,195439864;0,64;1;100;50;0;1000000;240,2882833;49,76;0;-20;-15;-10;-5
RED;14:54,3;28:50,3;2,46;3;13,93458333;0,176539186;0,82;1;103;48,5;0;1000000;254,2228667;52,22;0;-20;-15;-10;-5
RED;30:17,1;53:28,8;4,67;7;23,19621667;0,201325935;0,667142857;1;110;45;0;1000000;277,4190833;56,89;0;-20;-15;-10;-5
RED;28:57,2;43:19,1;3,03;5;14,36643333;0,210908298;0,606;1;115;42,5;0;1000000;291,7855167;59,92;0;-20;-15;-10;-5
RED;06:50,8;14:28,1;46,41;46;247,6216333;0,187423043;1,008913043;1;46;77;1;1000001;247,6216333;46,41;0;-20;-15;-10;-5
RED;48:05,9;07:19,7;5,34;7;19,23006667;0,277690145;0,762857143;1;53;73,5;0;1000001;266,8517;51,75;0;-20;-15;-10;-5
RED;16:11,5;27:07,8;2,22;4;10,93833333;0,202955965;0,555;1;57;71,5;0;1000001;277,7900333;53,97;0;-20;-15;-10;-5
RED;33:10,5;52:30,8;4,03;18;19,33883333;0,208388993;0,223888889;1;75;62,5;0;1000001;297,1288667;58;0;-20;-15;-10;-5
RED;53:23,7;01:01,9;1,61;2;7,636716667;0,210823587;0,805;1;77;61,5;0;1000001;304,7655833;59,61;0;-20;-15;-10;-5
RED;13:25,9;34:14,8;4,24;6;20,81516667;0,203697624;0,706666667;1;83;58,5;0;1000001;325,58075;63,85;0;-20;-15;-10;-5
RED;40:28,2;50:54,8;2,02;2;10,44393333;0,19341372;1,01;1;85;57,5;0;1000001;336,0246833;65,87;0;-20;-15;-10;-5
RED;58:04,9;09:46,3;2,34;2;11,68905;0,200187355;1,17;1;87;56,5;0;1000001;347,7137333;68,21;0;-20;-15;-10;-5
RED;09:19,5;21:44,4;2,42;5;12,41621667;0,194906393;0,484;1;92;54;0;1000001;360,12995;70,63;0;-20;-15;-10;-5
RED;35:11,5;54:21,0;3,95;5;19,15728333;0,206187899;0,79;1;97;51,5;0;1000001;379,2872333;74,58;0;-20;-15;-10;-5
RED;10:48,5;35:34,1;5,04;11;24,76053333;0,203549735;0,458181818;1;108;46;0;1000001;404,0477667;79,62;0;-20;-15;-10;-5
RED;41:00,0;53:20,2;2,62;3;12,33798333;0,21235237;0,873333333;1;111;44,5;0;1000001;416,38575;82,24;0;-20;-15;-10;-5
RED;04:51,9;13:28,6;1,82;4;8,611716667;0,211339977;0,455;1;115;42,5;0;1000001;424,9974667;84,06;0;-20;-15;-10;-5
RED;16:32,1;25:12,1;1,61;3;8,665883333;0,185786023;0,536666667;1;118;41;0;1000001;433,66335;85,67;0;-20;-15;-10;-5
RED;00:31,8;18:46,8;4,89;10;18,2489;0,267961357;0,489;1;128;36;0;1000001;451,91225;90,56;0;-20;-15;-10;-5
RED;21:42,6;41:22,1;3,62;3;19,65845;0,184144732;1,206666667;1;131;34,5;0;1000001;471,5707;94,18;0;-20;-15;-10;-5
RED;44:03,4;51:22,8;1,61;4;7,323716667;0,219833737;0,4025;1;135;32,5;0;1000001;478,8944167;95,79;0;-20;-15;-10;-5
RED;15:58,8;20:15,8;1,14;1;4,28375;0,266121973;1,14;1;136;32;0;1000001;483,1781667;96,93;0;-20;-15;-10;-5
RED;44:57,1;06:08,5;4,24;11;21,19101667;0,200084784;0,385454545;1;147;26,5;0;1000001;504,3691833;101,17;0;-20;-15;-10;-5
RED;07:48,5;25:11,2;3,63;8;17,37766667;0,208888804;0,45375;1;155;22,5;0;1000001;521,74685;104,8;0;-20;-15;-10;-5
RED;27:38,0;44:07,4;3,43;8;16,49006667;0,20800401;0,42875;1;8;96;1;1000002;16,49006667;3,43;0;-20;-15;-10;-5
RED;52:49,0;18:46,7;15,91;18;85,96118333;0,185083539;0,883888889;1;26;87;0;1000002;102,45125;19,34;0;-20;-15;-10;-5
RED;49:26,1;02:47,2;4;4;13,35133333;0,299595546;1;1;30;85;0;1000002;115,8025833;23,34;0;-20;-15;-10;-5
RED;40:30,1;08:57,1;5,65;15;28,4511;0,198586346;0,376666667;1;45;77,5;0;1000002;144,2536833;28,99;0;-20;-15;-10;-5
RED;12:42,5;30:56,2;3,51;5;18,22836667;0,192557022;0,702;1;50;75;0;1000002;162,48205;32,5;0;-20;-15;-10;-5
RED;57:41,3;12:49,8;3,03;6;15,14225;0,200102363;0,505;1;56;72;0;1000002;177,6243;35,53;0;-20;-15;-10;-5
RED;13:39,8;29:42,2;3,23;7;16,03978333;0,201374291;0,461428571;1;63;68,5;0;1000002;193,6640833;38,76;0;-20;-15;-10;-5
RED;23:24,2;32:06,8;1,82;4;8,710283333;0,208948427;0,455;1;67;66,5;0;1000002;202,3743667;40,58;0;-20;-15;-10;-5
RED;48:28,0;03:13,5;2,9;1;14,75878333;0,196493162;2,9;1;68;66;0;1000002;217,13315;43,48;0;-20;-15;-10;-5
RED;03:18,9;09:43,7;1,21;0;6,413333333;0,188669439;inf;1;68;66;0;1000002;223,5464833;44,69;0;-20;-15;-10;-5
RED;11:08,3;26:39,0;4,17;5;15,5117;0,268829335;0,834;1;73;63,5;0;1000002;239,0581833;48,86;0;-20;-15;-10;-5
RED;28:23,9;52:31,1;4,54;3;24,11921667;0,188231652;1,513333333;1;76;62;0;1000002;263,1774;53,4;0;-20;-15;-10;-5
RED;55:36,0;10:48,0;3,03;4;15,20076667;0,199332051;0,7575;1;80;60;0;1000002;278,3781667;56,43;0;-20;-15;-10;-5
RED;13:43,7;51:13,2;7,03;6;37,49266667;0,187503334;1,171666667;1;86;57;0;1000002;315,8708333;63,46;0;-20;-15;-10;-5
RED;57:17,0;20:23,3;4,64;8;23,10531667;0,20081958;0,58;1;94;53;0;1000002;338,97615;68,1;0;-20;-15;-10;-5
RED;39:09,8;56:05,4;3,43;9;16,92643333;0,202641628;0,381111111;1;103;48,5;0;1000002;355,9025833;71,53;0;-20;-15;-10;-5
RED;21:15,3;31:29,4;2,02;3;10,2349;0,197363921;0,673333333;1;106;47;0;1000002;366,1374833;73,55;0;-20;-15;-10;-5
RED;07:33,6;23:40,8;3,23;7;16,11916667;0,200382567;0,461428571;1;113;43,5;0;1000002;382,25665;76,78;0;-20;-15;-10;-5
RED;49:21,6;58:13,9;1,82;3;8,871783333;0,205144775;0,606666667;1;116;42;0;1000002;391,1284333;78,6;0;-20;-15;-10;-5
RED;59:59,6;13:00,7;2,62;5;13,01946667;0,201237122;0,524;1;121;39,5;0;1000002;404,1479;81,22;0;-20;-15;-10;-5
RED;13:11,5;27:49,2;2,82;4;14,62736667;0,192789315;0,705;1;125;37,5;0;1000002;418,7752667;84,04;0;-20;-15;-10;-5
RED;17:23,8;34:11,5;4,43;8;16,79458333;0,263775523;0,55375;1;133;33,5;0;1000002;435,56985;88,47;0;-20;-15;-10;-5
RED;46:42,0;55:12,2;1,82;3;8,503716667;0,214024064;0,606666667;1;136;32;0;1000002;444,0735667;90,29;0;-20;-15;-10;-5
RED;04:03,1;24:04,4;3,95;4;20,02135;0,197289394;0,9875;1;140;30;0;1000002;464,0949167;94,24;0;-20;-15;-10;-5
RED;40:43,4;53:13,6;2,42;5;12,50335;0,193548129;0,484;1;145;27,5;0;1000002;476,5982667;96,66;0;-20;-15;-10;-5
RED;00:41,0;18:03,3;3,93;4;17,37058333;0,226244561;0,9825;1;149;25,5;0;1000002;493,96885;100,59;0;-20;-15;-10;-5
RED;30:28,4;49:48,0;4,03;8;19,32748333;0,208511369;0,50375;1;157;21,5;0;1000002;513,2963333;104,62;0;-20;-15;-10;-5
RED;36:03,2;46:32,9;22,97;43;130,49505;0,176022002;0,534186047;1;43;78,5;1;1000003;130,49505;22,97;0;-20;-15;-10;-5
RED;40:57,3;13:03,1;6,25;23;32,09626667;0,194726697;0,27173913;1;66;67;0;1000003;162,5913167;29,22;0;-20;-15;-10;-5
RED;32:03,3;46:51,4;16,88;23;74,8021;0,225662114;0,733913043;1;89;55,5;0;1000003;237,3934167;46,1;0;-20;-15;-10;-5
RED;51:57,8;24:29,5;9,43;14;32,52915;0,289893834;0,673571429;1;103;48,5;0;1000003;269,9225667;55,53;0;-20;-15;-10;-5
RED;24:58,0;09:27,3;25,74;41;104,4883833;0,246343174;0,627804878;1;144;28;0;1000003;374,41095;81,27;0;-20;-15;-10;-5
RED;54:48,7;08:25,4;2,62;4;13,61193333;0,192478169;0,655;1;148;26;0;1000003;388,0228833;83,89;0;-20;-15;-10;-5
RED;09:06,0;19:13,6;2,02;2;10,12561667;0,199494023;1,01;1;150;25;0;1000003;398,1485;85,91;0;-20;-15;-10;-5
RED;39:29,4;50:01,9;2,61;2;10,54276667;0,2475631;1,305;1;152;24;0;1000003;408,6912667;88,52;0;-20;-15;-10;-5
RED;06:19,6;13:34,4;1,41;2;7,247016667;0,19456282;0,705;1;154;23;0;1000003;415,9382833;89,93;0;-20;-15;-10;-5
