Rental_state,Start,End,Revenue,Distance,duration_minute,revenue_minute,revenue_km,car_id,accum_distance
GREEN,2017-01-01 00:13:10.027,2017-01-01 00:17:56.452,0.0,0,4.773750000000001,0.0,0.0,1,0
RED,2017-01-01 00:19:04.324,2017-01-01 00:39:20.440,4.57,4,20.2686,0.2254719122189002,1.1425,1,4
GREEN,2017-01-01 00:20:57.892,2017-01-01 02:48:11.075,0.0,0,147.21971666666667,0.0,0.0,2,0
RED,2017-01-01 00:21:40.974,2017-01-01 00:45:19.135,4.84,19,23.636016666666666,0.20477223672065442,0.25473684210526315,3,19
GREEN,2017-01-01 00:37:10.018,2017-01-01 00:41:21.268,0.0,0,4.1875,0.0,0.0,4,0
RED,2017-01-01 00:37:11.831,2017-01-01 01:18:03.889,10.33,16,40.86763333333333,0.2527672673321757,0.645625,5,16
RED,2017-01-01 00:37:52.707,2017-01-01 00:50:03.954,2.42,7,12.18745,0.19856491718940383,0.3457142857142857,6,7
RED,2017-01-01 00:41:27.955,2017-01-01 00:42:43.816,0.0,0,1.26435,0.0,0.0,1,4
RED,2017-01-01 00:45:17.930,2017-01-01 01:06:59.664,4.44,7,21.695566666666664,0.2046501051674152,0.6342857142857143,1,11
RED,2017-01-01 00:47:59.854,2017-01-01 01:00:55.013,2.62,4,12.919316666666667,0.2027971035619789,0.655,3,23
RED,2017-01-01 00:53:23.352,2017-01-01 01:02:18.543,1.61,1,8.91985,0.1804963087944304,1.61,4,1
GREEN,2017-01-01 00:55:14.355,2017-01-01 13:26:21.392,0.0,0,751.1172833333333,0.0,0.0,6,7
GREEN,2017-01-01 01:02:41.177,2017-01-01 02:42:39.137,0.0,0,99.966,0.0,0.0,3,23
GREEN,2017-01-01 01:09:10.064,2017-01-01 02:01:13.694,0.0,0,52.060500000000005,0.0,0.0,1,11
RED,2017-01-01 01:13:40.090,2017-01-01 01:29:12.841,3.23,7,15.54585,0.20777249233718323,0.4614285714285714,4,8
GREEN,2017-01-01 01:18:20.882,2017-01-01 10:19:54.451,0.0,0,541.5594833333333,0.0,0.0,5,16
GREEN,2017-01-01 01:18:21.198,2017-01-01 01:49:51.514,0.0,0,31.505266666666667,0.0,0.0,7,0
GREEN,2017-01-01 01:22:44.809,2017-01-01 02:17:09.369,0.0,0,54.40933333333333,0.0,0.0,8,0
GREEN,2017-01-01 01:26:41.952,2017-01-01 01:26:59.123,0.0,0,0.28618333333333335,0.0,0.0,9,0
RED,2017-01-01 01:38:24.645,2017-01-01 01:47:44.505,1.82,4,9.331,0.19504876219054765,0.455,4,12
GREEN,2017-01-01 01:40:15.734,2017-01-01 02:30:30.411,0.0,0,50.244616666666666,0.0,0.0,9,0
RED,2017-01-01 01:40:22.156,2017-01-01 01:48:16.841,1.61,3,7.911416666666667,0.2035033759229805,0.5366666666666667,10,3
GREEN,2017-01-01 01:47:09.819,2017-01-01 04:37:29.328,0.0,0,170.32515,0.0,0.0,11,0
GREEN,2017-01-01 01:49:14.645,2017-01-01 05:22:59.306,0.0,0,213.74435,0.0,0.0,4,12
GREEN,2017-01-01 01:53:03.011,2017-01-01 01:54:11.240,0.0,0,1.1371499999999999,0.0,0.0,7,0
RED,2017-01-01 01:54:34.894,2017-01-01 02:07:40.510,2.62,5,13.0936,0.20009775768314292,0.524,7,5
RED,2017-01-01 01:55:08.634,2017-01-01 02:05:52.372,2.02,3,10.728966666666668,0.18827535425903083,0.6733333333333333,10,6
RED,2017-01-01 02:01:34.286,2017-01-01 02:14:07.911,2.62,6,12.560416666666667,0.20859180626969648,0.4366666666666667,1,17
GREEN,2017-01-01 02:04:44.413,2017-01-01 02:30:13.520,0.0,0,25.485116666666666,0.0,0.0,12,0
GREEN,2017-01-01 02:08:10.137,2017-01-01 02:20:37.998,0.0,0,12.46435,0.0,0.0,7,5
GREEN,2017-01-01 02:08:24.232,2017-01-01 03:03:07.340,0.0,0,54.71846666666667,0.0,0.0,10,6
RED,2017-01-01 02:10:25.846,2017-01-01 02:23:49.919,2.62,6,13.401216666666667,0.19550463701678827,0.4366666666666667,13,6
GREEN,2017-01-01 02:15:10.045,2017-01-01 14:53:59.040,0.0,0,758.8165833333334,0.0,0.0,1,17
RED,2017-01-01 02:27:19.098,2017-01-01 02:40:31.469,2.62,5,13.206183333333334,0.19839191489845034,0.524,7,10
GREEN,2017-01-01 02:41:17.240,2017-01-01 03:43:32.314,0.0,0,62.25123333333333,0.0,0.0,7,10
GREEN,2017-01-01 02:47:41.897,2017-01-01 15:10:10.644,0.0,0,742.4791166666668,0.0,0.0,3,23
RED,2017-01-01 02:53:02.233,2017-01-01 03:02:34.450,1.82,2,9.53695,0.19083669307273293,0.91,2,2
RED,2017-01-01 02:53:48.138,2017-01-01 03:07:24.793,2.82,8,13.610916666666666,0.2071866332784346,0.3525,8,8
GREEN,2017-01-01 02:58:10.224,2017-01-01 03:58:57.081,0.0,0,60.78095,0.0,0.0,9,0
RED,2017-01-01 02:58:38.829,2017-01-01 03:18:46.727,4.03,17,20.131633333333333,0.20018246573800108,0.23705882352941177,12,17
GREEN,2017-01-01 03:05:03.339,2017-01-01 03:37:03.931,0.0,0,32.00986666666667,0.0,0.0,2,2
GREEN,2017-01-01 03:06:05.641,2017-01-01 03:09:00.091,0.0,0,2.9074999999999998,0.0,0.0,10,6
RED,2017-01-01 03:30:40.329,2017-01-01 03:50:59.992,4.03,6,20.327716666666667,0.1982514842214612,0.6716666666666667,8,14
GREEN,2017-01-01 03:33:17.407,2017-01-01 05:31:49.176,0.0,0,118.52948333333333,0.0,0.0,10,6
RED,2017-01-01 03:33:22.498,2017-01-01 03:54:40.217,4.24,12,21.29531666666667,0.19910481099521882,0.35333333333333333,12,29
RED,2017-01-01 03:38:53.995,2017-01-01 03:47:36.768,1.61,3,8.712883333333334,0.18478383543143964,0.5366666666666667,2,5
GREEN,2017-01-01 03:40:27.366,2017-01-01 08:37:46.918,0.0,0,297.3258666666667,0.0,0.0,13,6
GREEN,2017-01-01 03:43:25.172,2017-01-01 03:45:22.052,0.0,0,1.948,0.0,0.0,14,0
GREEN,2017-01-01 03:46:37.982,2017-01-01 07:38:40.832,0.0,0,232.0475,0.0,0.0,7,10
GREEN,2017-01-01 03:49:10.013,2017-01-01 04:42:29.432,0.0,0,53.32365,0.0,0.0,2,5
RED,2017-01-01 03:50:23.755,2017-01-01 04:01:28.682,2.22,3,11.082116666666668,0.20032274219575982,0.7400000000000001,14,3
RED,2017-01-01 03:58:09.454,2017-01-01 04:09:58.359,2.42,4,11.815083333333332,0.20482293114027975,0.605,8,18
GREEN,2017-01-01 04:02:11.274,2017-01-01 13:43:35.354,0.0,0,581.4013333333334,0.0,0.0,9,0
GREEN,2017-01-01 04:11:07.285,2017-01-01 04:23:43.260,0.0,0,12.599583333333333,0.0,0.0,8,18
GREEN,2017-01-01 04:13:10.497,2017-01-01 05:50:30.067,0.0,0,97.32616666666667,0.0,0.0,12,29
RED,2017-01-01 04:21:18.726,2017-01-01 04:39:43.242,3.75,7,18.4086,0.20370913594732898,0.5357142857142857,14,10
RED,2017-01-01 04:27:41.410,2017-01-01 04:46:31.179,4.95,9,18.829483333333332,0.26288559873744105,0.55,8,27
