index;Rental_state;Start;End;Revenue;Distance;duration_minute;revenue_minute;revenue_km;car_id;accum_distance;battery_left;Running_revenue;Running_Minutes;minutes_until_breakeven;;
69011;RED;01/01/2017 00:19:04;01/01/2017 00:39:20;4,57;4;20,2686;0,225471912;1,1425;1;4;98;4,57;20,2686;-519,7314;;
47985;RED;01/01/2017 00:41:28;01/01/2017 00:42:44;0;0;1,26435;0;0;1;4;98;4,57;21,53295;-518,46705;;
83252;RED;01/01/2017 00:45:18;01/01/2017 01:07:00;4,44;7;21,69556667;0,204650105;0,634285714;1;11;94,5;9,01;43,22851667;-496,7714833;;
24506;RED;01/01/2017 02:01:34;01/01/2017 02:14:08;2,62;6;12,56041667;0,208591806;0,436666667;1;17;91,5;11,63;55,78893333;-484,2110667;;
7577;RED;01/01/2017 21:05:40;01/01/2017 21:21:56;3,23;11;16,25328333;0,198729077;0,293636364;1;28;86;14,86;72,04221667;-467,9577833;;
51694;RED;02/01/2017 07:11:59;02/01/2017 07:26:47;2,94;5;14,79991667;0,198649767;0,588;1;33;83,5;17,8;86,84213333;-453,1578667;;
83229;RED;02/01/2017 07:31:17;02/01/2017 07:38:38;2;3;7,349866667;0,27211378;0,666666667;1;36;82;19,8;94,192;-445,808;;
74627;RED;02/01/2017 07:44:35;02/01/2017 08:10:47;5,12;8;26,19731667;0,195439864;0,64;1;44;78;24,92;120,3893167;-419,6106833;;
36762;RED;02/01/2017 08:14:54;02/01/2017 08:28:50;2,46;3;13,93458333;0,176539186;0,82;1;47;76,5;27,38;134,3239;-405,6761;;
42331;RED;02/01/2017 08:30:17;02/01/2017 08:53:29;4,67;7;23,19621667;0,201325935;0,667142857;1;54;73;32,05;157,5201167;-382,4798833;;
46995;RED;02/01/2017 11:28:57;02/01/2017 11:43:19;3,03;5;14,36643333;0,210908298;0,606;1;59;70,5;35,08;171,88655;-368,11345;;
65282;RED;02/01/2017 11:50:20;02/01/2017 12:02:54;0;0;12,55258333;0;0;1;59;70,5;35,08;184,4391333;-355,5608667;;
14597;RED;02/01/2017 12:06:51;02/01/2017 16:14:28;46,41;46;247,6216333;0,187423043;1,008913043;1;105;47,5;81,49;432,0607667;-107,9392333;;
98931;RED;02/01/2017 17:11:19;02/01/2017 17:17:45;1,41;2;6,431983333;0,219216986;0,705;1;107;46,5;82,9;438,49275;-101,50725;;
756;RED;02/01/2017 17:20:51;02/01/2017 17:33:19;2,62;4;12,46943333;0,210113798;0,655;1;111;44,5;85,52;450,9621833;-89,03781667;;
90279;RED;03/01/2017 13:39:27;03/01/2017 13:52:54;3,71;5;13,44431667;0,275953036;0,742;1;116;42;89,23;464,4065;-75,5935;;
44274;RED;03/01/2017 13:53:24;03/01/2017 14:01:02;1,61;2;7,636716667;0,210823587;0,805;1;118;41;90,84;472,0432167;-67,95678333;;
22104;RED;03/01/2017 17:32:20;03/01/2017 17:52:12;4,03;8;19,8612;0,202908183;0,50375;1;126;37;94,87;491,9044167;-48,09558333;;
41738;RED;03/01/2017 18:13:36;03/01/2017 18:20:36;2;2;7,008583333;0,285364375;1;1;128;36;96,87;498,913;-41,087;;
87474;RED;03/01/2017 19:35:12;03/01/2017 19:54:21;3,95;5;19,15728333;0,206187899;0,79;1;133;33,5;100,82;518,0702833;-21,92971667;;
74160;RED;03/01/2017 20:06:52;03/01/2017 20:07:10;0;0;0,30015;0;0;1;133;33,5;100,82;518,3704333;-21,62956667;;
58844;RED;03/01/2017 20:10:48;03/01/2017 20:35:34;5,04;11;24,76053333;0,203549735;0,458181818;1;144;28;105,86;543,1309667;3,130966667;;
33919;RED;03/01/2017 20:41:00;03/01/2017 20:53:20;2,62;3;12,33798333;0,21235237;0,873333333;1;147;26,5;108,48;555,46895;15,46895;;
23602;RED;03/01/2017 21:04:52;03/01/2017 21:13:29;1,82;4;8,611716667;0,211339977;0,455;1;151;24,5;110,3;564,0806667;24,08066667;;
30099;RED;03/01/2017 21:16:32;03/01/2017 21:25:12;1,61;3;8,665883333;0,185786023;0,536666667;1;154;23;111,91;572,74655;32,74655;;0,18813755
24241;RED;03/01/2017 23:00:32;03/01/2017 23:18:47;4,89;10;18,2489;0,267961357;0,489;1;0;100;;;-540;;
9861;RED;04/01/2017 12:34:50;04/01/2017 13:16:32;8,47;27;41,70443333;0,203095914;0,313703704;1;27;86,5;;;-540;;
49111;RED;04/01/2017 14:49:35;04/01/2017 15:02:43;2,62;4;13,14065;0,199381309;0,655;1;31;84,5;;;-540;;
47390;RED;04/01/2017 17:32:05;04/01/2017 18:06:45;7,06;11;34,67273333;0,203618213;0,641818182;1;42;79;;;-540;;
22139;RED;04/01/2017 18:07:43;04/01/2017 18:15:11;1,61;3;7,467483333;0,215601419;0,536666667;1;45;77,5;;;-540;;
91351;RED;04/01/2017 20:40:56;04/01/2017 21:07:16;5,28;11;26,32966667;0,200534252;0,48;1;56;72;;;-540;;
82299;RED;04/01/2017 21:08:54;04/01/2017 21:26:21;0;0;17,44801667;0;0;1;56;72;;;-540;;
51877;RED;04/01/2017 21:34:53;04/01/2017 21:41:14;1,82;1;6,363483333;0,286006878;1,82;1;57;71,5;;;-540;;
30283;RED;05/01/2017 14:17:21;05/01/2017 14:25:23;1,61;1;8,033266667;0,200416601;1,61;1;58;71;;;-540;;
61815;RED;05/01/2017 14:30:16;05/01/2017 14:36:32;1,71;2;6,259983333;0,273163667;0,855;1;60;70;;;-540;;
44461;RED;05/01/2017 16:20:49;05/01/2017 16:31:09;2,22;3;10,32895;0,214929882;0,74;1;63;68,5;;;-540;;
51012;RED;05/01/2017 17:20:39;05/01/2017 17:45:50;4,75;5;25,1762;0,188670252;0,95;1;68;66;;;-540;;
9892;RED;05/01/2017 18:03:59;05/01/2017 18:19:50;3,23;4;15,84236667;0,203883679;0,8075;1;72;64;;;-540;;
3996;RED;05/01/2017 18:21:04;05/01/2017 18:30:31;2,02;3;9,452566667;0,213698572;0,673333333;1;75;62,5;;;-540;;
53797;RED;05/01/2017 19:39:10;05/01/2017 19:56:05;3,43;9;16,92643333;0,202641628;0,381111111;1;84;58;;;-540;;
3430;RED;06/01/2017 07:07:34;06/01/2017 07:23:41;3,23;7;16,11916667;0,200382567;0,461428571;1;91;54,5;;;-540;;
42393;RED;06/01/2017 07:49:22;06/01/2017 07:58:14;1,82;3;8,871783333;0,205144775;0,606666667;1;94;53;;;-540;;
38575;RED;06/01/2017 08:00:00;06/01/2017 08:13:01;2,62;5;13,01946667;0,201237122;0,524;1;99;50,5;;;-540;;
52589;RED;06/01/2017 08:13:12;06/01/2017 08:27:49;2,82;4;14,62736667;0,192789315;0,705;1;103;48,5;;;-540;;
52506;RED;06/01/2017 09:17:24;06/01/2017 09:34:11;4,43;8;16,79458333;0,263775523;0,55375;1;111;44,5;;;-540;;
60205;RED;06/01/2017 12:36:03;06/01/2017 14:46:33;22,97;43;130,49505;0,176022002;0,534186047;1;154;23;;;-540;;
40229;RED;06/01/2017 14:49:10;06/01/2017 15:26:54;10,48;12;37,73393333;0,2777341;0,873333333;1;0;100;;;-540;;
70355;RED;07/01/2017 00:27:21;07/01/2017 00:48:12;4,24;9;20,84653333;0,203391131;0,471111111;1;9;95,5;;;-540;;
67625;RED;07/01/2017 18:29:06;07/01/2017 19:50:33;15,35;35;81,46518333;0,188424053;0,438571429;1;44;78;;;-540;;
69822;RED;07/01/2017 20:51:49;07/01/2017 21:02:34;2,22;3;10,74555;0,20659715;0,74;1;47;76,5;;;-540;;
78280;RED;07/01/2017 22:31:43;07/01/2017 22:46:59;3,03;5;15,26843333;0,198448651;0,606;1;52;74;;;-540;;
671;RED;08/01/2017 00:47:21;08/01/2017 01:05:33;3,63;8;18,1925;0,199532774;0,45375;1;60;70;;;-540;;
89164;RED;08/01/2017 06:04:53;08/01/2017 06:20:09;3,97;8;15,25911667;0,260172334;0,49625;1;68;66;;;-540;;
10195;RED;08/01/2017 06:50:34;08/01/2017 07:00:09;1,82;3;9,587133333;0,189837769;0,606666667;1;71;64,5;;;-540;;
54232;RED;08/01/2017 12:40:27;08/01/2017 12:48:41;2,34;3;8,23855;0,284030564;0,78;1;74;63;;;-540;;
72951;RED;08/01/2017 12:51:20;08/01/2017 12:52:01;0;0;0,694116667;0;0;1;74;63;;;-540;;
43898;RED;08/01/2017 14:15:45;08/01/2017 14:26:07;2,22;5;10,37015;0,214075978;0,444;1;79;60,5;;;-540;;
34184;RED;08/01/2017 14:30:24;08/01/2017 17:42:04;33,29;76;191,6652833;0,17368821;0,438026316;1;155;22,5;;;-540;;
16692;RED;08/01/2017 20:04:44;08/01/2017 20:16:42;2,25;2;11,95711667;0,188172455;1,125;1;157;21,5;;;-540;;
43342;RED;08/01/2017 20:30:52;08/01/2017 20:45:04;2,82;6;14,19708333;0,198632348;0,47;1;0;100;;;-540;;0,202854709
26398;RED;09/01/2017 08:44:40;09/01/2017 09:03:19;3,83;5;18,65871667;0,205265993;0,766;1;5;97,5;;;-540;;
83097;RED;09/01/2017 11:31:43;09/01/2017 12:01:41;6,05;12;29,95673333;0,201957935;0,504166667;1;17;91,5;;;-540;;
7237;RED;09/01/2017 13:50:16;09/01/2017 14:03:58;2,82;7;13,70036667;0,205833907;0,402857143;1;24;88;;;-540;;
57345;RED;09/01/2017 19:29:29;09/01/2017 19:45:43;3,97;3;16,23261667;0,244569319;1,323333333;1;27;86,5;;;-540;;
12045;RED;09/01/2017 19:56:13;09/01/2017 20:09:55;2,62;3;13,701;0,191226918;0,873333333;1;30;85;;;-540;;
4199;RED;09/01/2017 22:02:22;09/01/2017 22:08:25;1,33;2;6,04895;0,21987287;0,665;1;32;84;;;-540;;
87941;RED;09/01/2017 22:08:51;09/01/2017 22:29:43;3,53;3;20,87128333;0,169131909;1,176666667;1;35;82,5;;;-540;;
3504;RED;09/01/2017 23:00:15;09/01/2017 23:10:17;2,02;4;10,03818333;0,201231631;0,505;1;39;80,5;;;-540;;
50414;RED;10/01/2017 08:37:26;10/01/2017 08:54:49;3,43;4;17,38406667;0,197307113;0,8575;1;43;78,5;;;-540;;
60472;RED;10/01/2017 08:55:15;10/01/2017 09:28:39;8,6;12;33,3962;0,257514328;0,716666667;1;55;72,5;;;-540;;
19419;RED;10/01/2017 10:46:25;10/01/2017 11:15:37;5,85;12;29,20636667;0,200298793;0,4875;1;67;66,5;;;-540;;
36708;RED;10/01/2017 11:18:49;10/01/2017 11:28:31;2,86;2;9,695633333;0,294978152;1,43;1;69;65,5;;;-540;;
77096;RED;10/01/2017 14:12:46;10/01/2017 14:28:02;3,03;6;15,27258333;0,198394727;0,505;1;75;62,5;;;-540;;
25693;RED;10/01/2017 14:31:56;10/01/2017 14:47:08;2,78;2;15,19786667;0,18292041;1,39;1;77;61,5;;;-540;;
91136;RED;10/01/2017 14:47:09;10/01/2017 14:59:00;2,42;4;11,85426667;0,204145905;0,605;1;81;59,5;;;-540;;
37396;RED;10/01/2017 15:41:57;10/01/2017 15:46:24;0,81;2;4,452566667;0,181917546;0,405;1;83;58,5;;;-540;;
66370;RED;10/01/2017 18:10:05;10/01/2017 18:45:14;7,06;4;35,15835;0,200805783;1,765;1;87;56,5;;;-540;;
90707;RED;10/01/2017 18:55:03;10/01/2017 18:55:31;0;0;0,462183333;0;0;1;87;56,5;;;-540;;
1213;RED;10/01/2017 18:58:36;10/01/2017 19:11:52;3,39;5;13,27381667;0,255389997;0,678;1;92;54;;;-540;;
5299;RED;10/01/2017 19:15:42;10/01/2017 19:53:16;7,46;7;37,5653;0,198587526;1,065714286;1;99;50,5;;;-540;;
29468;RED;10/01/2017 20:00:20;10/01/2017 20:06:40;1,21;1;6,336666667;0,19095213;1,21;1;100;50;;;-540;;
55506;RED;10/01/2017 20:07:13;10/01/2017 21:07:00;11,76;11;59,78643333;0,196700143;1,069090909;1;111;44,5;;;-540;;
29524;RED;10/01/2017 21:07:18;10/01/2017 21:18:48;2,42;3;11,50336667;0,210373195;0,806666667;1;114;43;;;-540;;
46542;RED;10/01/2017 21:26:18;10/01/2017 21:46:20;4,03;8;20,04476667;0,201049983;0,50375;1;122;39;;;-540;;
42789;RED;10/01/2017 22:09:22;10/01/2017 22:18:07;1,73;3;8,756166667;0,197575042;0,576666667;1;125;37,5;;;-540;;
98470;RED;11/01/2017 10:37:06;11/01/2017 10:54:10;3,55;5;17,06413333;0,208038693;0,71;1;130;35;;;-540;;
37478;RED;11/01/2017 12:05:50;11/01/2017 12:24:56;3,83;6;19,11513333;0,200364807;0,638333333;1;136;32;;;-540;;
42976;RED;11/01/2017 12:31:28;11/01/2017 12:57:08;5,24;11;25,66813333;0,204144179;0,476363636;1;147;26,5;;;-540;;
33467;RED;11/01/2017 12:59:29;11/01/2017 13:22:49;4,56;8;23,32548333;0,195494341;0,57;1;155;22,5;;;-540;;
10988;RED;11/01/2017 17:12:48;11/01/2017 17:24:01;2,22;2;11,21826667;0,197891534;1,11;1;157;21,5;;;-540;;
8475;RED;11/01/2017 17:34:41;11/01/2017 19:14:15;19,15;37;99,55415;0,192357626;0,517567568;1;0;100;;;-540;;
61675;RED;12/01/2017 04:47:03;12/01/2017 04:57:25;2,02;7;10,35656667;0,195045334;0,288571429;1;7;96,5;;;-540;;
16385;RED;12/01/2017 10:19:06;12/01/2017 10:31:15;2,42;2;12,15655;0,199069637;1,21;1;9;95,5;;;-540;;
42040;RED;12/01/2017 12:50:38;12/01/2017 13:00:09;1,82;3;9,5159;0,19125884;0,606666667;1;12;94;;;-540;;
8259;RED;12/01/2017 15:49:08;12/01/2017 15:58:39;1,82;2;9,52605;0,191055054;0,91;1;14;93;;;-540;;
1726;RED;12/01/2017 15:59:19;12/01/2017 16:16:59;3,55;5;17,65615;0,201063086;0,71;1;19;90,5;;;-540;;
1630;RED;12/01/2017 16:18:46;12/01/2017 16:28:26;1,82;4;9,6659;0,188290795;0,455;1;23;88,5;;;-540;;
22742;RED;12/01/2017 17:07:04;12/01/2017 17:14:14;1,82;2;7,164833333;0,25401847;0,91;1;25;87,5;;;-540;;
99824;RED;12/01/2017 17:18:41;12/01/2017 17:29:38;2,22;4;10,95906667;0,202571995;0,555;1;29;85,5;;;-540;;
12953;RED;12/01/2017 17:36:45;12/01/2017 17:39:43;0,61;1;2,960483333;0,206047436;0,61;1;30;85;;;-540;;
62862;RED;12/01/2017 18:09:12;12/01/2017 18:18:50;2,02;3;9,638533333;0,209575454;0,673333333;1;33;83,5;;;-540;;
34140;RED;12/01/2017 19:47:19;12/01/2017 19:55:28;1,61;3;8,141966667;0,197740923;0,536666667;1;36;82;;;-540;;
10253;RED;12/01/2017 19:56:13;12/01/2017 20:03:31;1,41;2;7,298833333;0,193181559;0,705;1;38;81;;;-540;;
70349;RED;12/01/2017 20:07:12;12/01/2017 20:20:40;3,39;5;13,45698333;0,251913814;0,678;1;43;78,5;;;-540;;
77447;RED;12/01/2017 21:25:45;12/01/2017 21:47:15;4,44;8;21,50135;0,206498662;0,555;1;51;74,5;;;-540;;
81923;RED;12/01/2017 22:59:28;12/01/2017 23:04:39;1,01;2;5,196466667;0,194362836;0,505;1;53;73,5;;;-540;;
25735;RED;12/01/2017 23:08:23;12/01/2017 23:23:03;4,29;5;14,67398333;0,292354155;0,858;1;58;71;;;-540;;
24861;RED;12/01/2017 23:36:14;12/01/2017 23:43:25;1,41;3;7,18765;0,196169819;0,47;1;61;69,5;;;-540;;
1122;RED;13/01/2017 06:18:28;13/01/2017 06:32:21;2,82;5;13,88766667;0,203057869;0,564;1;66;67;;;-540;;
12583;RED;13/01/2017 07:01:12;13/01/2017 07:14:44;2,62;4;13,52153333;0,193765007;0,655;1;70;65;;;-540;;
41005;RED;13/01/2017 09:39:00;13/01/2017 09:48:11;1,82;2;9,1727;0,198414861;0,91;1;72;64;;;-540;;
29309;RED;13/01/2017 09:48:22;13/01/2017 10:03:06;3,91;5;14,73818333;0,265297283;0,782;1;77;61,5;;;-540;;
26023;RED;13/01/2017 10:08:05;13/01/2017 10:24:26;3,23;5;16,35863333;0,197449257;0,646;1;82;59;;;-540;;
73961;RED;13/01/2017 10:29:20;13/01/2017 12:06:58;20,06;7;97,63293333;0,205463457;2,865714286;1;89;55,5;;;-540;;
47000;RED;13/01/2017 14:28:41;13/01/2017 14:44:43;3,23;5;16,02231667;0,201593819;0,646;1;94;53;;;-540;;
48266;RED;13/01/2017 15:31:08;13/01/2017 17:59:56;24,77;7;148,7991667;0,166465986;3,538571429;1;101;49,5;;;-540;;
42147;RED;13/01/2017 18:00:32;13/01/2017 18:05:56;1,01;3;5,3953;0,18719997;0,336666667;1;104;48;;;-540;;
81051;RED;13/01/2017 18:08:15;13/01/2017 18:35:49;5,48;8;27,56601667;0,198795498;0,685;1;112;44;;;-540;;
7439;RED;13/01/2017 19:16:19;13/01/2017 19:23:21;2;1;7,044683333;0,283902044;2;1;113;43,5;;;-540;;
67150;RED;13/01/2017 21:47:43;13/01/2017 21:58:30;2,22;3;10,77776667;0,205979594;0,74;1;116;42;;;-540;;
60447;RED;14/01/2017 10:45:32;14/01/2017 10:52:36;1,53;1;7,06215;0,216647905;1,53;1;117;41,5;;;-540;;
42085;RED;14/01/2017 15:53:43;14/01/2017 16:13:08;4,03;7;19,42673333;0,207446097;0,575714286;1;124;38;;;-540;;
59803;RED;14/01/2017 16:19:38;14/01/2017 16:23:33;0,81;1;3,925066667;0,206365922;0,81;1;125;37,5;;;-540;;
27022;RED;14/01/2017 17:14:10;14/01/2017 17:22:37;2,03;2;8,4429;0,240438712;1,015;1;127;36,5;;;-540;;
82375;RED;15/01/2017 06:18:08;15/01/2017 06:32:29;2,82;8;14,35205;0,19648761;0,3525;1;135;32,5;;;-540;;
76851;RED;15/01/2017 06:38:20;15/01/2017 06:53:00;4,29;5;14,67368333;0,292360132;0,858;1;140;30;;;-540;;
56564;RED;15/01/2017 07:01:36;15/01/2017 07:11:02;1,82;6;9,436416667;0,192869822;0,303333333;1;146;27;;;-540;;
87966;RED;15/01/2017 07:11:09;15/01/2017 07:18:57;1,61;3;7,792683333;0,206604058;0,536666667;1;149;25,5;;;-540;;
94591;RED;16/01/2017 08:01:26;16/01/2017 08:51:55;12,48;11;50,48568333;0,247198793;1,134545455;1;0;100;;;-540;;
87239;RED;16/01/2017 17:58:03;16/01/2017 18:34:32;7,46;12;36,48273333;0,204480293;0,621666667;1;12;94;;;-540;;
87246;RED;16/01/2017 18:36:15;16/01/2017 18:54:09;3,63;9;17,88396667;0,202975104;0,403333333;1;21;89,5;;;-540;;
57446;RED;16/01/2017 19:59:23;16/01/2017 20:13:27;2,74;5;14,06545;0,194803579;0,548;1;26;87;;;-540;;
95282;RED;17/01/2017 00:17:54;17/01/2017 00:33:18;3,23;8;15,40065;0,209731407;0,40375;1;34;83;;;-540;;
79083;RED;17/01/2017 05:52:06;17/01/2017 06:08:13;3,23;7;16,12608333;0,200296621;0,461428571;1;41;79,5;;;-540;;
20296;RED;17/01/2017 07:54:21;17/01/2017 09:15:36;13,94;5;81,2456;0,171578522;2,788;1;46;77;;;-540;;
16095;RED;17/01/2017 10:11:49;17/01/2017 10:30:04;3,83;6;18,25355;0,209822199;0,638333333;1;52;74;;;-540;;
51255;RED;17/01/2017 10:31:10;17/01/2017 11:34:22;12,23;2;63,19923333;0,193515006;6,115;1;54;73;;;-540;;
70632;RED;17/01/2017 12:41:14;17/01/2017 12:53:05;2,42;3;11,84553333;0,204296416;0,806666667;1;57;71,5;;;-540;;
28602;RED;17/01/2017 13:37:31;17/01/2017 13:52:23;3,03;6;14,87123333;0,203749073;0,505;1;63;68,5;;;-540;;
9433;RED;17/01/2017 14:01:15;17/01/2017 14:17:08;3,23;7;15,8803;0,203396661;0,461428571;1;70;65;;;-540;;
5173;RED;18/01/2017 00:43:23;18/01/2017 01:05:27;4,31;10;22,06555;0,195327105;0,431;1;80;60;;;-540;;
