Rental_state,Start,End,Revenue,Distance
RED,2017-04-18 20:13:45.2790000,2017-04-18 20:30:13.0410000,4.43,8
GREEN,2017-09-17 19:06:00.9820000,2017-09-17 19:07:15.8960000,0.0,0
RED,2017-07-28 21:56:11.4990000,2017-07-28 22:06:50.3140000,2.87,3
GREEN,2017-01-31 21:31:57.8780000,2017-01-31 21:50:07.8720000,0.0,0
RED,2017-08-09 20:34:39.6860000,2017-08-09 20:49:32.0390000,2.82,5
RED,2017-07-01 18:09:06.7230000,2017-07-01 18:31:02.3220000,4.23,7
GREEN,2017-11-28 14:11:36.9650000,2017-11-28 14:39:15.2970000,0.0,0
GREEN,2017-08-01 10:00:22.3980000,2017-08-01 10:11:22.6610000,0.0,0
GREEN,2017-01-16 16:21:21.8860000,2017-01-16 16:42:33.2880000,0.0,0
RED,2017-09-15 19:44:44.4000000,2017-09-15 19:58:07.4810000,3.06,4
RED,2017-04-17 22:18:44.8570000,2017-04-17 22:30:15.9340000,2.42,4
RED,2017-05-25 18:16:57.7060000,2017-05-25 18:25:01.5900000,1.73,2
GREEN,2017-04-24 21:39:30.6280000,2017-04-24 22:11:06.7000000,0.0,0
RED,2017-01-30 15:53:31.1400000,2017-01-30 16:11:14.8850000,3.46,6
RED,2017-10-23 15:15:53.7870000,2017-10-23 15:30:42.6660000,3.28,4
RED,2017-02-27 05:04:12.7610000,2017-02-27 05:36:41.9990000,6.45,23
GREEN,2017-12-16 19:04:52.3850000,2017-12-16 19:21:21.4550000,0.0,0
GREEN,2017-10-10 18:04:33.7820000,2017-10-10 18:13:42.6560000,0.0,0
GREEN,2017-02-23 13:06:39.6770000,2017-02-23 13:06:52.0050000,0.0,0
GREEN,2017-05-18 17:43:41.1790000,2017-05-18 17:44:54.8980000,0.0,0
RED,2017-11-23 18:10:43.0970000,2017-11-23 18:46:50.1360000,8.08,11
RED,2017-12-18 11:58:16.3720000,2017-12-18 12:09:46.7960000,3.13,3
RED,2017-05-04 18:44:13.8760000,2017-05-04 19:21:09.2040000,10.57,12
GREEN,2017-10-12 23:34:10.3510000,2017-10-12 23:34:43.2810000,0.0,0
GREEN,2017-05-18 14:16:59.5040000,2017-05-18 14:18:37.6730000,0.0,0
GREEN,2017-06-30 12:02:10.1810000,2017-06-30 12:04:09.5230000,0.0,0
GREEN,2017-11-14 08:52:20.5750000,2017-11-14 08:52:34.7730000,0.0,0
RED,2017-08-22 07:13:34.5300000,2017-08-22 07:32:12.3930000,3.54,4
GREEN,2017-02-09 23:02:59.4840000,2017-02-10 08:04:16.4680000,0.0,0
GREEN,2017-08-28 00:24:35.8930000,2017-08-28 06:34:03.0730000,0.0,0
RED,2017-02-12 01:02:06.9770000,2017-02-12 01:17:37.3090000,3.91,7
GREEN,2017-07-01 12:22:03.9140000,2017-07-01 14:09:11.7120000,0.0,0
RED,2017-09-11 20:39:37.5020000,2017-09-11 20:51:51.3830000,2.62,7
GREEN,2017-06-28 18:18:24.8840000,2017-06-28 18:19:43.2240000,0.0,0
GREEN,2017-01-18 23:53:09.5970000,2017-01-19 00:12:24.5720000,0.0,0
RED,2017-07-26 10:16:39.7300000,2017-07-26 10:19:21.9740000,0.61,0
GREEN,2017-09-14 11:15:31.4980000,2017-09-14 11:24:17.3950000,0.0,0
RED,2017-05-22 15:58:41.8150000,2017-05-22 16:06:48.6740000,2.34,2
GREEN,2017-10-13 16:55:38.3540000,2017-10-13 17:27:05.1270000,0.0,0
GREEN,2017-06-01 21:55:14.2180000,2017-06-01 22:01:41.6500000,0.0,0
GREEN,2017-05-27 19:08:59.2470000,2017-05-27 20:19:17.6570000,0.0,0
RED,2017-03-28 09:22:28.6140000,2017-03-28 09:49:56.6100000,4.8,2
