Rental_state,Start,End,Revenue,Distance,duration_minute,revenue_minute,revenue_km,car_id,accum_distance,battery_left
GREEN,2017-01-01 00:13:10.027,2017-01-01 00:17:56.452,0.0,0,4.773750000000001,0.0,0.0,1,0,100.0
RED,2017-01-01 00:19:04.324,2017-01-01 00:39:20.440,4.57,4,20.2686,0.2254719122189002,1.1425,1,4,98.0
RED,2017-01-01 00:41:27.955,2017-01-01 00:42:43.816,0.0,0,1.26435,0.0,0.0,1,4,98.0
RED,2017-01-01 00:45:17.930,2017-01-01 01:06:59.664,4.44,7,21.695566666666664,0.2046501051674152,0.6342857142857143,1,11,94.5
GREEN,2017-01-01 01:09:10.064,2017-01-01 02:01:13.694,0.0,0,52.060500000000005,0.0,0.0,1,11,94.5
RED,2017-01-01 02:01:34.286,2017-01-01 02:14:07.911,2.62,6,12.560416666666667,0.20859180626969648,0.4366666666666667,1,17,91.5
GREEN,2017-01-01 02:15:10.045,2017-01-01 14:53:59.040,0.0,0,758.8165833333334,0.0,0.0,1,17,91.5
RED,2017-01-01 15:00:22.707,2017-01-01 15:09:30.216,1.82,1,9.12515,0.1994487761845011,1.82,1,18,91.0
RED,2017-01-01 15:31:38.017,2017-01-01 15:40:57.673,2.57,2,9.327599999999999,0.27552639478536817,1.285,1,20,90.0
RED,2017-01-01 15:41:57.207,2017-01-01 15:53:25.459,2.42,4,11.470866666666666,0.21096923801165854,0.605,1,24,88.0
GREEN,2017-01-01 15:59:22.346,2017-01-01 16:27:40.909,0.0,0,28.309383333333336,0.0,0.0,1,24,88.0
RED,2017-01-01 16:33:13.756,2017-01-01 16:47:24.747,2.82,5,14.183183333333334,0.19882701462177624,0.564,1,29,85.5
GREEN,2017-01-01 16:49:17.619,2017-01-01 19:01:27.419,0.0,0,132.16333333333333,0.0,0.0,1,29,85.5
RED,2017-01-01 19:01:36.260,2017-01-01 19:49:18.184,9.48,34,47.69873333333333,0.1987474160739419,0.2788235294117647,1,63,68.5
GREEN,2017-01-01 19:50:06.773,2017-01-01 19:50:50.256,0.0,0,0.7247166666666666,0.0,0.0,1,63,68.5
RED,2017-01-01 20:22:17.993,2017-01-01 20:32:52.971,2.02,4,10.582966666666666,0.1908727546466177,0.505,1,67,66.5
RED,2017-01-01 20:44:26.095,2017-01-01 21:03:12.584,3.71,6,18.774816666666666,0.19760512530526264,0.6183333333333333,1,73,63.5
RED,2017-01-01 21:05:40.377,2017-01-01 21:21:55.574,3.23,11,16.253283333333332,0.19872907730438055,0.29363636363636364,1,84,58.0
GREEN,2017-01-01 21:32:00.254,2017-01-02 07:10:42.212,0.0,0,578.6993,0.0,0.0,1,84,58.0
RED,2017-01-02 07:11:58.843,2017-01-02 07:26:46.838,2.94,5,14.799916666666666,0.19864976717211247,0.588,1,89,55.5
RED,2017-01-02 07:31:17.417,2017-01-02 07:38:38.409,2.0,3,7.349866666666667,0.2721137798418112,0.6666666666666666,1,92,54.0
RED,2017-01-02 07:44:34.762,2017-01-02 08:10:46.601,5.12,8,26.197316666666666,0.19543986375194916,0.64,1,100,50.0
RED,2017-01-02 08:14:54.265,2017-01-02 08:28:50.340,2.46,3,13.934583333333334,0.176539186077804,0.82,1,103,48.5
RED,2017-01-02 08:30:17.063,2017-01-02 08:53:28.836,4.67,7,23.196216666666665,0.2013259346172113,0.6671428571428571,1,110,44.99999999999999
GREEN,2017-01-02 08:53:38.356,2017-01-02 11:23:23.321,0.0,0,149.74941666666666,0.0,0.0,1,110,44.99999999999999
RED,2017-01-02 11:28:57.154,2017-01-02 11:43:19.140,3.03,5,14.366433333333333,0.21090829781458167,0.606,1,115,42.50000000000001
RED,2017-01-02 11:50:20.426,2017-01-02 12:02:53.581,0.0,0,12.552583333333333,0.0,0.0,1,115,42.50000000000001
RED,2017-01-02 12:06:50.774,2017-01-02 16:14:28.072,46.41,46,247.62163333333334,0.1874230428709177,1.0089130434782607,1,46,77.0
GREEN,2017-01-03 01:14:33.236,2017-01-03 11:04:32.784,0.0,0,589.9924666666667,0.0,0.0,1,46,77.0
RED,2017-01-03 11:48:05.937,2017-01-03 12:07:19.741,5.34,7,19.23006666666667,0.2776901449466287,0.7628571428571428,1,53,73.5
RED,2017-01-03 12:16:11.492,2017-01-03 12:27:07.792,2.22,4,10.938333333333333,0.20295596525978976,0.555,1,57,71.5
GREEN,2017-01-03 12:31:59.858,2017-01-03 12:32:06.302,0.0,0,0.1074,0.0,0.0,1,57,71.5
RED,2017-01-03 13:33:10.498,2017-01-03 13:52:30.828,4.03,18,19.338833333333334,0.2083889927865349,0.22388888888888892,1,75,62.5
RED,2017-01-03 13:53:23.735,2017-01-03 14:01:01.938,1.61,2,7.636716666666667,0.21082358692544573,0.805,1,77,61.5
GREEN,2017-01-03 14:08:10.042,2017-01-03 16:08:49.434,0.0,0,120.65653333333333,0.0,0.0,1,77,61.5
RED,2017-01-03 16:13:25.919,2017-01-03 16:34:14.829,4.24,6,20.815166666666666,0.2036976243284144,0.7066666666666667,1,83,58.5
GREEN,2017-01-03 16:34:41.782,2017-01-03 16:40:14.528,0.0,0,5.545766666666666,0.0,0.0,1,83,58.5
RED,2017-01-03 16:40:28.203,2017-01-03 16:50:54.839,2.02,2,10.443933333333332,0.1934137202458844,1.01,1,85,57.5
RED,2017-01-03 16:58:04.935,2017-01-03 17:09:46.278,2.34,2,11.68905,0.20018735483208644,1.17,1,87,56.5
GREEN,2017-01-03 17:10:13.659,2017-01-03 17:46:30.212,0.0,0,36.27588333333333,0.0,0.0,1,87,56.5
RED,2017-01-03 18:09:19.474,2017-01-03 18:21:44.447,2.42,5,12.416216666666665,0.19490639258067072,0.484,1,92,54.0
GREEN,2017-01-03 18:24:14.366,2017-01-03 19:29:33.819,0.0,0,65.32421666666667,0.0,0.0,1,92,54.0
RED,2017-01-03 19:35:11.528,2017-01-03 19:54:20.965,3.95,5,19.157283333333332,0.20618789894530978,0.79,1,97,51.5
GREEN,2017-01-03 19:58:10.989,2017-01-03 20:03:16.546,0.0,0,5.092616666666667,0.0,0.0,1,97,51.5
RED,2017-01-03 20:06:52.244,2017-01-03 20:07:10.253,0.0,0,0.30015000000000003,0.0,0.0,1,97,51.5
RED,2017-01-03 20:10:48.490,2017-01-03 20:35:34.122,5.04,11,24.760533333333335,0.2035497350622496,0.4581818181818182,1,108,46.0
RED,2017-01-03 20:40:59.970,2017-01-03 20:53:20.249,2.62,3,12.337983333333334,0.21235236984974584,0.8733333333333334,1,111,44.49999999999999
RED,2017-01-03 21:04:51.880,2017-01-03 21:13:28.583,1.82,4,8.611716666666666,0.2113399767371198,0.455,1,115,42.50000000000001
RED,2017-01-03 21:16:32.135,2017-01-03 21:25:12.088,1.61,3,8.665883333333333,0.18578602296746052,0.5366666666666667,1,118,41.0
GREEN,2017-01-03 21:30:06.857,2017-01-03 22:57:36.408,0.0,0,87.49251666666667,0.0,0.0,1,118,41.0
RED,2017-01-03 23:00:31.844,2017-01-03 23:18:46.778,4.89,10,18.2489,0.2679613565749168,0.489,1,128,36.0
RED,2017-01-03 23:21:42.640,2017-01-03 23:41:22.147,3.62,3,19.658450000000002,0.18414473165483544,1.2066666666666668,1,131,34.5
RED,2017-01-03 23:42:51.406,2017-01-03 23:43:07.515,0.0,0,0.26848333333333335,0.0,0.0,1,131,34.5
RED,2017-01-03 23:44:03.400,2017-01-03 23:51:22.823,1.61,4,7.323716666666667,0.2198337365135644,0.4025,1,135,32.5
RED,2017-01-04 00:15:58.818,2017-01-04 00:20:15.843,1.14,1,4.2837499999999995,0.2661219725707616,1.14,1,136,32.0
GREEN,2017-01-04 00:33:24.770,2017-01-04 07:30:32.034,0.0,0,417.12106666666665,0.0,0.0,1,136,32.0
RED,2017-01-04 07:44:57.081,2017-01-04 08:06:08.542,4.24,11,21.191016666666666,0.2000847843543766,0.3854545454545455,1,147,26.5
GREEN,2017-01-04 08:06:08.542,2017-01-04 08:06:28.828,0.0,0,0.3381,0.0,0.0,1,147,26.5
RED,2017-01-04 08:07:48.524,2017-01-04 08:25:11.184,3.63,8,17.377666666666666,0.2088888036368519,0.45375,1,155,22.5
GREEN,2017-01-04 08:26:02.376,2017-01-04 08:27:31.065,0.0,0,1.4781499999999999,0.0,0.0,1,155,22.5
RED,2017-01-04 08:27:37.954,2017-01-04 08:44:07.358,3.43,8,16.490066666666667,0.20800401049520723,0.42875,1,8,96.0
GREEN,2017-01-04 17:47:48.272,2017-01-04 17:49:54.926,0.0,0,2.1109,0.0,0.0,1,8,96.0
RED,2017-01-04 17:52:49.048,2017-01-04 19:18:46.719,15.91,18,85.96118333333334,0.18508353867472352,0.883888888888889,1,26,87.0
GREEN,2017-01-04 19:18:55.195,2017-01-04 19:38:55.514,0.0,0,20.005316666666666,0.0,0.0,1,26,87.0
RED,2017-01-04 19:49:26.127,2017-01-04 20:02:47.207,4.0,4,13.351333333333335,0.2995955460128826,1.0,1,30,85.0
GREEN,2017-01-04 20:02:55.841,2017-01-05 05:13:50.888,0.0,0,550.91745,0.0,0.0,1,30,85.0
RED,2017-01-05 05:40:30.063,2017-01-05 06:08:57.129,5.65,15,28.4511,0.19858634639785458,0.3766666666666667,1,45,77.5
RED,2017-01-05 06:12:42.521,2017-01-05 06:30:56.223,3.51,5,18.228366666666666,0.1925570219310196,0.702,1,50,75.0
GREEN,2017-01-05 06:31:10.018,2017-01-05 06:41:41.437,0.0,0,10.52365,0.0,0.0,1,50,75.0
RED,2017-01-05 06:57:41.251,2017-01-05 07:12:49.786,3.03,6,15.142249999999999,0.2001023625947267,0.505,1,56,72.0
RED,2017-01-05 07:13:39.799,2017-01-05 07:29:42.186,3.23,7,16.039783333333332,0.20137429121548817,0.4614285714285714,1,63,68.5
GREEN,2017-01-05 07:37:50.899,2017-01-05 08:05:09.574,0.0,0,27.311249999999998,0.0,0.0,1,63,68.5
RED,2017-01-05 08:23:24.161,2017-01-05 08:32:06.778,1.82,4,8.710283333333333,0.2089484268594401,0.455,1,67,66.5
RED,2017-01-05 08:33:12.998,2017-01-05 16:43:24.123,0.0,0,490.18541666666664,0.0,0.0,1,67,66.5
RED,2017-01-05 16:48:28.010,2017-01-05 17:03:13.537,2.9,1,14.758783333333334,0.19649316169919154,2.9,1,68,66.0
RED,2017-01-05 17:03:18.863,2017-01-05 17:09:43.663,1.21,0,6.413333333333333,0.18866943866943867,inf,1,68,66.0
RED,2017-01-05 17:11:08.268,2017-01-05 17:26:38.970,4.17,5,15.5117,0.268829335275953,0.834,1,73,63.5
RED,2017-01-05 17:28:23.917,2017-01-05 17:52:31.070,4.54,3,24.119216666666667,0.18823165207825296,1.5133333333333334,1,76,62.0
RED,2017-01-05 17:55:35.954,2017-01-05 18:10:48.000,3.03,4,15.200766666666668,0.19933205123425787,0.7575,1,80,60.0
RED,2017-01-05 18:13:43.686,2017-01-05 18:51:13.246,7.03,6,37.492666666666665,0.1875033339853127,1.1716666666666666,1,86,57.0
GREEN,2017-01-05 18:52:39.307,2017-01-05 18:56:46.358,0.0,0,4.117516666666666,0.0,0.0,1,86,57.0
RED,2017-01-05 18:57:17.013,2017-01-05 19:20:23.332,4.64,8,23.105316666666667,0.20081958048616513,0.58,1,94,53.0
GREEN,2017-01-05 19:24:53.137,2017-01-05 19:34:44.626,0.0,0,9.85815,0.0,0.0,1,94,53.0
RED,2017-01-05 19:39:09.830,2017-01-05 19:56:05.416,3.43,9,16.926433333333332,0.20264162759234572,0.3811111111111111,1,103,48.5
GREEN,2017-01-05 20:02:54.639,2017-01-05 20:09:02.099,0.0,0,6.124333333333333,0.0,0.0,1,103,48.5
RED,2017-01-05 20:21:15.317,2017-01-05 20:31:29.411,2.02,3,10.234900000000001,0.197363921484333,0.6733333333333333,1,106,47.0
GREEN,2017-01-05 20:32:28.967,2017-01-06 06:59:44.681,0.0,0,627.2619,0.0,0.0,1,106,47.0
RED,2017-01-06 07:07:33.619,2017-01-06 07:23:40.769,3.23,7,16.119166666666665,0.20038256733702117,0.4614285714285714,1,113,43.50000000000001
GREEN,2017-01-06 07:26:14.891,2017-01-06 07:35:23.344,0.0,0,9.140883333333333,0.0,0.0,1,113,43.50000000000001
RED,2017-01-06 07:49:21.572,2017-01-06 07:58:13.879,1.82,3,8.871783333333333,0.20514477547730917,0.6066666666666667,1,116,42.00000000000001
RED,2017-01-06 07:59:59.579,2017-01-06 08:13:00.747,2.62,5,13.019466666666666,0.20123712184830922,0.524,1,121,39.5
RED,2017-01-06 08:13:11.542,2017-01-06 08:27:49.184,2.82,4,14.627366666666667,0.192789315005435,0.705,1,125,37.5
GREEN,2017-01-06 08:31:19.244,2017-01-06 09:15:08.032,0.0,0,43.81313333333333,0.0,0.0,1,125,37.5
RED,2017-01-06 09:17:23.786,2017-01-06 09:34:11.461,4.43,8,16.794583333333332,0.2637755228620339,0.55375,1,133,33.5
GREEN,2017-01-06 09:39:10.097,2017-01-06 09:41:06.575,0.0,0,1.9412999999999998,0.0,0.0,1,133,33.5
RED,2017-01-06 09:46:42.020,2017-01-06 09:55:12.243,1.82,3,8.503716666666667,0.21402406398770732,0.6066666666666667,1,136,32.0
RED,2017-01-06 10:04:03.070,2017-01-06 10:24:04.351,3.95,4,20.021349999999998,0.19728939357236153,0.9875,1,140,30.0
GREEN,2017-01-06 10:32:21.508,2017-01-06 10:33:54.386,0.0,0,1.5479666666666667,0.0,0.0,1,140,30.0
